,distance,width,movement_time
6051,210,6,1022
304,40,18,385
4483,120,8,723
1188,60,20,456
1533,60,20,481
3410,160,18,817
1525,120,10,686
594,160,10,1032
4060,75,10,704
2346,60,14,448
4459,75,20,365
2233,40,10,368
4517,210,6,1324
2798,60,14,686
4961,210,10,772
2432,210,10,875
4685,60,18,479
534,75,20,789
5564,75,6,522
5661,75,18,390
63,120,8,867
1871,120,6,814
1559,120,10,1145
1278,75,10,720
3725,120,8,1034
3340,75,10,1258
4553,160,10,814
3294,160,8,870
2062,60,6,758
5215,40,6,456
831,120,20,727
4276,40,18,502
4825,75,20,510
6031,120,6,1913
1321,60,8,514
56,120,8,865
5560,160,8,688
802,40,18,575
629,60,6,1024
678,40,8,775
1687,40,10,548
1570,120,18,493
4725,40,10,646
4539,120,18,520
3103,75,18,410
2772,120,10,845
4720,40,10,606
1167,75,14,746
1319,60,8,535
3511,160,8,1009
5581,210,10,740
1339,160,18,914
2597,75,6,878
5946,210,10,830
2781,210,14,1426
5283,75,14,393
30,160,10,1032
875,120,8,1114
1839,160,6,598
4067,60,14,456
3522,210,20,871
797,40,18,582
5765,40,6,451
4861,60,6,658
1732,60,18,417
5338,120,20,568
4857,60,6,598
5050,120,10,610
2732,210,8,1186
3156,40,18,728
1423,210,18,742
5041,120,10,729
2741,160,6,1186
2578,120,8,839
330,75,18,511
3768,75,20,584
521,210,20,863
877,120,8,996
680,40,8,682
5002,120,6,1057
262,210,14,793
4845,160,8,738
2224,75,10,710
111,160,20,690
957,60,8,649
1035,75,8,566
522,210,20,722
5682,160,20,523
280,210,18,679
3579,60,20,641
461,60,14,738
5330,40,14,344
4737,120,10,720
2962,40,14,513
1313,210,20,767
4433,210,20,710
4673,75,18,543
4615,60,6,534
1601,210,8,752
1650,210,14,726
4350,120,6,655
1695,40,10,416
503,40,18,541
2494,60,10,657
1159,40,6,695
639,210,6,1463
5793,210,8,667
3566,40,8,774
5173,40,10,491
5434,60,10,526
1235,75,6,702
3783,210,18,863
2294,40,6,1143
939,75,10,897
3561,40,8,889
4089,75,8,534
5742,40,8,455
2339,60,14,448
5379,40,20,399
2819,210,18,1042
1886,210,10,719
3104,75,18,527
3982,210,14,1023
5265,60,20,394
4035,60,6,704
2,210,8,1024
1307,210,20,871
828,120,20,839
1385,160,10,873
3806,40,14,497
368,120,14,679
5411,160,10,936
